Customer ID: 7590-VHVEG, Churn Probability: 0.8182032476788748
Customer ID: 5575-GNVDE, Churn Probability: 0.16597349706958325
Customer ID: 7795-CFOCW, Churn Probability: 0.08539555083219527
Customer ID: 1452-KIOVK, Churn Probability: 0.40116431089494275
Customer ID: 6713-OKOMC, Churn Probability: 0.4864579853131872
Customer ID: 6388-TABGU, Churn Probability: 0.0708203513921588
Customer ID: 9763-GRSKD, Churn Probability: 0.2595438531547448
Customer ID: 7469-LKBCI, Churn Probability: 0.07280290648410497
Customer ID: 8091-TTVAX, Churn Probability: 0.3876828156184902
Customer ID: 5129-JLPIS, Churn Probability: 0.7482281572769067
Customer ID: 3655-SNQYZ, Churn Probability: 0.10269528453804054
Customer ID: 8191-XWSZG, Churn Probability: 0.04833750752067177
Customer ID: 9959-WOFKT, Churn Probability: 0.11925483739643736
Customer ID: 4183-MYFRB, Churn Probability: 0.8285681152665061
Customer ID: 1680-VDCWW, Churn Probability: 0.22891536805503326
Customer ID: 3638-WEABW, Churn Probability: 0.06313194486363584
Customer ID: 6322-HRPFA, Churn Probability: 0.045531461891003516
Customer ID: 6865-JZNKO, Churn Probability: 0.4026098572501711
Customer ID: 5248-YGIJN, Churn Probability: 0.05774640845092393
Customer ID: 3841-NFECX, Churn Probability: 0.07443400741129803
Customer ID: 4929-XIHVW, Churn Probability: 0.8957345424324608
Customer ID: 6827-IEAUQ, Churn Probability: 0.1828436132383774
Customer ID: 7310-EGVHZ, Churn Probability: 0.4541609501228103
Customer ID: 3413-BMNZE, Churn Probability: 0.6915123796226416
Customer ID: 6234-RAAPL, Churn Probability: 0.07603061027504569
Customer ID: 6572-ADKRS, Churn Probability: 0.5404106414373235
Customer ID: 8865-TNMNX, Churn Probability: 0.4265402194201143
Customer ID: 9489-DEDVP, Churn Probability: 0.05303816099295315
Customer ID: 9867-JCZSP, Churn Probability: 0.1988317454345504
Customer ID: 4671-VJLCL, Churn Probability: 0.043838959448113585
Customer ID: 4080-IIARD, Churn Probability: 0.6560937393014286
Customer ID: 3714-NTNFO, Churn Probability: 0.7003976449633788
Customer ID: 5948-UJZLF, Churn Probability: 0.6384178434401324
Customer ID: 7639-LIAYI, Churn Probability: 0.0841410110227316
Customer ID: 2954-PIBKO, Churn Probability: 0.0324121571491964
Customer ID: 8012-SOUDQ, Churn Probability: 0.7363820767964494
Customer ID: 6575-SUVOI, Churn Probability: 0.49018089359497713
Customer ID: 4667-QONEA, Churn Probability: 0.13054205896876317
Customer ID: 8769-KKTPH, Churn Probability: 0.35597569747430946
Customer ID: 5067-XJQFU, Churn Probability: 0.48507070667244173
Customer ID: 3957-SQXML, Churn Probability: 0.04739073300485059
Customer ID: 5954-BDFSG, Churn Probability: 0.1675653116341855
Customer ID: 0434-CSFON, Churn Probability: 0.8120853883773025
Customer ID: 1215-FIGMP, Churn Probability: 0.5428477017153963
Customer ID: 0526-SXDJP, Churn Probability: 0.02225945526030515
Customer ID: 0557-ASKVU, Churn Probability: 0.3735777322358852
Customer ID: 5122-CYFXA, Churn Probability: 0.8116165452189239
Customer ID: 8627-ZYGSZ, Churn Probability: 0.477237773802373
Customer ID: 3410-YOQBQ, Churn Probability: 0.15990155924184066
Customer ID: 3170-NMYVV, Churn Probability: 0.028593121098001224
Customer ID: 7410-OIEDU, Churn Probability: 0.708329158104383
Customer ID: 2273-QCKXA, Churn Probability: 0.5968512321153439
Customer ID: 0731-EBJQB, Churn Probability: 0.10993258356629486
Customer ID: 1891-QRQSA, Churn Probability: 0.189140896396994
Customer ID: 8028-PNXHQ, Churn Probability: 0.025531510763556177
Customer ID: 5630-AHZIL, Churn Probability: 0.3027912349090788
Customer ID: 2673-CXQEU, Churn Probability: 0.3962719499376701
Customer ID: 6416-JNVRK, Churn Probability: 0.2043707563504913
Customer ID: 5590-ZSKRV, Churn Probability: 0.22149340760410985
Customer ID: 0191-ZHSKZ, Churn Probability: 0.6305473413754793
Customer ID: 3887-PBQAO, Churn Probability: 0.09705021684430894
Customer ID: 8108-UXRQN, Churn Probability: 0.3882586570521834
Customer ID: 9919-YLNNG, Churn Probability: 0.673611332187387
Customer ID: 0318-ZOPWS, Churn Probability: 0.04225147440170538
Customer ID: 4445-ZJNMU, Churn Probability: 0.8394855099391089
Customer ID: 4808-YNLEU, Churn Probability: 0.3188286015407942
Customer ID: 1862-QRWPE, Churn Probability: 0.0318692107289752
Customer ID: 2796-NNUFI, Churn Probability: 0.045510516929612624
Customer ID: 3016-KSVCP, Churn Probability: 0.5130616692623879
Customer ID: 4767-HZZHQ, Churn Probability: 0.29483827634669085
Customer ID: 2424-WVHPL, Churn Probability: 0.7935296451777032
Customer ID: 7233-PAHHL, Churn Probability: 0.08053244922486587
Customer ID: 6067-NGCEU, Churn Probability: 0.4856889333339536
Customer ID: 9848-JQJTX, Churn Probability: 0.20759784383977745
Customer ID: 9803-FTJCG, Churn Probability: 0.06487327066588865
Customer ID: 3212-KXOCR, Churn Probability: 0.02197776741333674
Customer ID: 6380-ARCEH, Churn Probability: 0.44423386419754146
Customer ID: 3679-XASPY, Churn Probability: 0.25441821946180715
Customer ID: 7123-WQUHX, Churn Probability: 0.3653940769968164
Customer ID: 5386-THSLQ, Churn Probability: 0.12879856987976035
Customer ID: 6180-YBIQI, Churn Probability: 0.6286917333688978
Customer ID: 6728-DKUCO, Churn Probability: 0.3950036852594466
Customer ID: 9750-BOOHV, Churn Probability: 0.1599851297032437
Customer ID: 8597-CWYHH, Churn Probability: 0.4575372644708962
Customer ID: 2848-YXSMW, Churn Probability: 0.009988393450002695
Customer ID: 4549-ZDQYY, Churn Probability: 0.07084656746592208
Customer ID: 5712-AHQNN, Churn Probability: 0.7228318798757846
Customer ID: 5256-SKJGO, Churn Probability: 0.11556381715464005
Customer ID: 3071-VBYPO, Churn Probability: 0.49353366119764436
Customer ID: 9560-BBZXK, Churn Probability: 0.06952634722528017
Customer ID: 8402-OOOHJ, Churn Probability: 0.03303317118484078
Customer ID: 9445-ZUEQE, Churn Probability: 0.2840461319163267
Customer ID: 1091-SOZGA, Churn Probability: 0.49571769385660763
Customer ID: 2928-HLDBA, Churn Probability: 0.4037819701196465
Customer ID: 6497-TILVL, Churn Probability: 0.24133560794178743
Customer ID: 7219-TLZHO, Churn Probability: 0.17538866066602915
Customer ID: 4622-YNKIJ, Churn Probability: 0.25973775277870004
Customer ID: 6734-PSBAW, Churn Probability: 0.017612358237821448
Customer ID: 3930-ZGWVE, Churn Probability: 0.44345990471697316
Customer ID: 2639-UGMAZ, Churn Probability: 0.15774240233489709
Customer ID: 2876-GZYZC, Churn Probability: 0.8717061743624636
Customer ID: 8587-XYZSF, Churn Probability: 0.0309743369204459
Customer ID: 7799-LGRDP, Churn Probability: 0.04035531836824449
Customer ID: 7850-VWJUU, Churn Probability: 0.6404705164527565
Customer ID: 3774-VBNXY, Churn Probability: 0.016135691374765063
Customer ID: 6217-KDYWC, Churn Probability: 0.024301359227422464
Customer ID: 3146-MSEGF, Churn Probability: 0.06440006991414325
Customer ID: 1095-WGNGG, Churn Probability: 0.2890332091794999
Customer ID: 2636-SJDOU, Churn Probability: 0.16570379531333304
Customer ID: 1131-QQZEB, Churn Probability: 0.014072139632412163
Customer ID: 5716-EZXZN, Churn Probability: 0.10329849716263732
Customer ID: 6837-BJYDQ, Churn Probability: 0.25536888719190826
Customer ID: 6440-DKQGE, Churn Probability: 0.2696347435331479
Customer ID: 3466-BYAVD, Churn Probability: 0.31805744685214593
Customer ID: 3780-YVMFA, Churn Probability: 0.5400271762136887
Customer ID: 1679-JRFBR, Churn Probability: 0.3286879417061479
Customer ID: 9073-ZZIAY, Churn Probability: 0.07957876007618073
Customer ID: 3077-RSNTJ, Churn Probability: 0.16466460352526624
Customer ID: 6551-GNYDG, Churn Probability: 0.5785906445846216
Customer ID: 9167-APMXZ, Churn Probability: 0.7834954558242796
Customer ID: 2749-CTKAJ, Churn Probability: 0.16149943215979337
Customer ID: 6371-NZYEG, Churn Probability: 0.1927907011523736
Customer ID: 7554-NEWDD, Churn Probability: 0.10591705636309318
Customer ID: 8992-VONJD, Churn Probability: 0.28786786857003366
Customer ID: 4482-EWFMI, Churn Probability: 0.8731349823084686
Customer ID: 4648-YPBTM, Churn Probability: 0.09877362856846555
Customer ID: 2907-ILJBN, Churn Probability: 0.2362976072219137
Customer ID: 6345-FZOQH, Churn Probability: 0.012754751697415087
Customer ID: 5997-OPVFA, Churn Probability: 0.0658892501617526
Customer ID: 1159-WFSGR, Churn Probability: 0.15820973652705378
Customer ID: 7654-YWJUF, Churn Probability: 0.2867224143476988
Customer ID: 6727-IOTLZ, Churn Probability: 0.26514464939350996
Customer ID: 5918-VUKWP, Churn Probability: 0.1049597058984361
Customer ID: 1744-JHKYS, Churn Probability: 0.2789481039086135
Customer ID: 5947-SGKCL, Churn Probability: 0.6118677680372544
Customer ID: 3712-PKXZA, Churn Probability: 0.04938484301133909
Customer ID: 6582-OIVSP, Churn Probability: 0.675088479619924
Customer ID: 5524-KHNJP, Churn Probability: 0.2826795860555183
Customer ID: 4827-USJHP, Churn Probability: 0.5755906586349417
Customer ID: 8167-GJLRN, Churn Probability: 0.6571421756041401
Customer ID: 0956-SYCWG, Churn Probability: 0.2532071023385593
Customer ID: 8017-UVSZU, Churn Probability: 0.3633205471488036
Customer ID: 7100-FQPRV, Churn Probability: 0.2000847306286057
Customer ID: 2984-RGEYA, Churn Probability: 0.013851978420096157
Customer ID: 9680-NIAUV, Churn Probability: 0.1250029990356945
Customer ID: 2146-EGVDT, Churn Probability: 0.016875408594042966
Customer ID: 2604-IJPDU, Churn Probability: 0.7387054555498671
Customer ID: 9178-JHUVJ, Churn Probability: 0.027677755848864376
Customer ID: 6168-YBYNP, Churn Probability: 0.6589268280789311
Customer ID: 7255-SSFBC, Churn Probability: 0.058856504959661306
Customer ID: 3645-DEYGF, Churn Probability: 0.16252090041945136
Customer ID: 9323-HGFWY, Churn Probability: 0.4995138362174842
Customer ID: 8544-GOQSH, Churn Probability: 0.6727199410345316
Customer ID: 3363-DTIVD, Churn Probability: 0.05107449283457516
Customer ID: 7018-WBJNK, Churn Probability: 0.478770051370642
Customer ID: 9142-KZXOP, Churn Probability: 0.44336205755112346
Customer ID: 7674-YTAFD, Churn Probability: 0.39669946856544924
Customer ID: 6348-SNFUS, Churn Probability: 0.03177431345867295
Customer ID: 1347-KTTTA, Churn Probability: 0.3555640631569322
Customer ID: 4195-NZGTA, Churn Probability: 0.7445854138517022
Customer ID: 7157-SMCFK, Churn Probability: 0.0035441496386494965
Customer ID: 4709-LKHYG, Churn Probability: 0.17625463698383065
Customer ID: 2504-DSHIH, Churn Probability: 0.8166601508348222
Customer ID: 0699-NDKJM, Churn Probability: 0.36043865327195124
Customer ID: 9286-BHDQG, Churn Probability: 0.014584502672644781
Customer ID: 0230-WEQUW, Churn Probability: 0.04279309811093961
Customer ID: 2040-LDIWQ, Churn Probability: 0.11129875934844052
Customer ID: 6496-JDSSB, Churn Probability: 0.842363606174107
Customer ID: 4443-EMBNA, Churn Probability: 0.013837075420885758
Customer ID: 6469-MRVET, Churn Probability: 0.47164267112548947
Customer ID: 5961-VUSRV, Churn Probability: 0.2678949800338203
Customer ID: 6778-JFCMK, Churn Probability: 0.38835548181190555
Customer ID: 6341-JVQGF, Churn Probability: 0.34887931264456007
Customer ID: 4811-JBUVU, Churn Probability: 0.655866295329122
Customer ID: 0945-TSONX, Churn Probability: 0.11227438459390439
Customer ID: 2651-ZCBXV, Churn Probability: 0.14682469988401858
Customer ID: 3316-UWXUY, Churn Probability: 0.4043426102582733
Customer ID: 7083-MIOPC, Churn Probability: 0.008966870802598085
Customer ID: 1984-GPTEH, Churn Probability: 0.28364943274401677
Customer ID: 0621-JFHOL, Churn Probability: 0.23526036647206916
Customer ID: 9903-LYSAB, Churn Probability: 0.831863338707545
Customer ID: 9227-UAQFT, Churn Probability: 0.08093616263869283
Customer ID: 7301-ABVAD, Churn Probability: 0.06369332784714274
Customer ID: 6614-FHDBO, Churn Probability: 0.12730387436301063
Customer ID: 7576-ASEJU, Churn Probability: 0.25876849665803875
Customer ID: 9058-HRZSV, Churn Probability: 0.4773485337205502
Customer ID: 4522-AKYLR, Churn Probability: 0.7289282892952901
Customer ID: 0221-WMXNQ, Churn Probability: 0.7528637031865834
Customer ID: 0303-UNCIP, Churn Probability: 0.24840789550982367
Customer ID: 0959-WHOKV, Churn Probability: 0.46707395618366054
Customer ID: 4075-JFPGR, Churn Probability: 0.42666282217097706
Customer ID: 3282-ZISZV, Churn Probability: 0.2690867709699677
Customer ID: 3675-YDUPJ, Churn Probability: 0.43967496800991906
Customer ID: 4111-BNXIF, Churn Probability: 0.1127856048079873
Customer ID: 7017-VFHAY, Churn Probability: 0.03222224155996879
Customer ID: 6655-LHBYW, Churn Probability: 0.24738484754456247
Customer ID: 5046-NUHWD, Churn Probability: 0.6184728751006641
Customer ID: 7529-ZDFXI, Churn Probability: 0.6902634513211087
Customer ID: 7605-BDWDC, Churn Probability: 0.10901685900828877
Customer ID: 1950-KSVVJ, Churn Probability: 0.3333395578613272
Customer ID: 0123-CRBRT, Churn Probability: 0.06524872275619616
Customer ID: 6292-TOSSS, Churn Probability: 0.02413195956517547
